"Country","FSI"
"Switzerland","1466.1",
"Hong Kong","1259.4",
"USA","1254.7",
"Singapore","1147.1",
"Cayman Islands","1013.1",
"Luxembourg","816.9",
"Lebanon","760.2",
"Germany","701.8",
"Bahrain","471.3",
"United Arab Emirates (Dubai)","440.7",
"Macao","420.1",
"Japan","418.3",
"Panama","415.6",
"Marshall Islands","405.5",
"United Kingdom","380.2",
"Jersey","354.0",
"Guernsey","339.3",
"Malaysia","338.7",
"Turkey","320.9",
"China","312.1",
"British Virgin Islands","307.6",
"Barbados","298.3",
"Mauritius","297.0",
"Austria","295.3",
"Bahamas","273.0",
"Brazil","263.6",
"Malta","260.9",
"Uruguay","255.5",
"Canada","251.7",
"Russia","243.2",
"France","241.9",
"Isle of Man","228.5",
"Liberia","218.2",
"Bermuda","217.7",
"Cyprus","213.9",
"Liechtenstein","202.3",
"Ireland","187.4",
"Belgium","181.2",
"Guatemala","177.1",
"Israel","173.7",
"Netherlands","168.3",
"Chile","166.6",
"Saudi Arabia","163.8",
"Australia","148.0",
"India","148.0",
"Philippines","146.0",
"Vanuatu","142.8",
"Ghana","139.1",
"Republic of Korea","124.2",
"US Virgin Islands","118.2",
"Samoa","117.5",
"Mexico","117.0",
"Norway","110.6",
"New Zealand","109.3",
"Gibraltar","109.3",
"Sweden","100.8",
"Aruba","99.5",
"Italy","98.6",
"Latvia","92.7",
"Belize","92.4",
"South Africa","90.8",
"Botswana","90.5",
"Anguilla","89.3",
"Saint Vincent and the Grenadines","79.6",
"Antigua and Barbuda","79.5",
"Spain","77.4",
"Costa Rica","74.9",
"Turks & Caicos Islands","72.4",
"Saint Kitts and Nevis","68.4",
"Curacao","67.8",
"Iceland","67.1",
"Seychelles","60.8",
"Slovakia","60.1",
"Macedonia","59.5",
"Poland","57.2",
"Monaco","53.6",
"Estonia","52.9",
"Portugal","52.5",
"Saint Lucia","51.6",
"Brunei Darussalam","47.4",
"Czech Republic","44.2",
"Grenada","42.1",
"Denmark","38.2",
"Hungary","37.3",
"Greece","37.2",
"San Marino","33.2",
"Andorra","27.3",
"Slovenia","22.4",
"Dominica","21.3",
"Finland","19.4",
"Cook Islands","17.8",
"Montserrat","10.8"